epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2164.56,0.41503,0.98341,1,0.04656,0.00333111,0.00333111,0.00333111
2,4484.51,0.08834,0.9945,1,0.01584,0.00653249,0.00653249,0.00653249
3,7541.59,0.06164,0.99475,1,0.01517,0.00960186,0.00960186,0.00960186
4,9703.96,0.06039,0.99608,1,0.01191,0.009406,0.009406,0.009406
5,11985.8,0.03598,0.998,1,0.00689,0.009208,0.009208,0.009208
6,14392.7,0.0326,0.99733,1,0.00721,0.00901,0.00901,0.00901
7,16604.3,0.02813,0.99825,1,0.00648,0.008812,0.008812,0.008812
8,18946.5,0.02298,0.99808,1,0.00574,0.008614,0.008614,0.008614
9,21206.3,0.02501,0.99817,1,0.00584,0.008416,0.008416,0.008416
10,23389.8,0.02332,0.998,1,0.00617,0.008218,0.008218,0.008218
11,25681.5,0.02003,0.99825,1,0.00677,0.00802,0.00802,0.00802
12,27894.3,0.02369,0.99842,1,0.00541,0.007822,0.007822,0.007822
13,30098.1,0.02308,0.9985,1,0.00415,0.007624,0.007624,0.007624
14,32266.7,0.01946,0.99842,1,0.0042,0.007426,0.007426,0.007426
15,34184.9,0.02207,0.9985,1,0.00423,0.007228,0.007228,0.007228
16,36329.7,0.01818,0.99842,1,0.0041,0.00703,0.00703,0.00703
17,38505.4,0.01829,0.99825,1,0.00416,0.006832,0.006832,0.006832
18,40695.2,0.01877,0.99817,1,0.00463,0.006634,0.006634,0.006634
19,42809,0.02422,0.99817,1,0.00486,0.006436,0.006436,0.006436
20,44683.9,0.01702,0.99833,1,0.0049,0.006238,0.006238,0.006238
21,46606.1,0.0193,0.99842,1,0.00496,0.00604,0.00604,0.00604
22,48492.8,0.01819,0.99842,1,0.00498,0.005842,0.005842,0.005842
23,50487.4,0.01554,0.9985,1,0.00503,0.005644,0.005644,0.005644
24,52372.3,0.01588,0.99842,1,0.00513,0.005446,0.005446,0.005446
25,54426.4,0.01579,0.99833,1,0.00524,0.005248,0.005248,0.005248
26,56311.6,0.01424,0.99842,1,0.00526,0.00505,0.00505,0.00505
27,2269.8,0.0061,0.99842,1,0.00525,0.004852,0.004852,0.004852
28,4325.23,0.00754,0.99842,1,0.00531,0.004654,0.004654,0.004654
29,6539.88,0.00814,0.99842,1,0.00538,0.004456,0.004456,0.004456
30,8655.09,0.00878,0.99833,1,0.00547,0.004258,0.004258,0.004258
31,10892.9,0.00849,0.99833,1,0.00556,0.00406,0.00406,0.00406
32,13506.9,0.00848,0.99842,1,0.00559,0.003862,0.003862,0.003862
33,15808.6,0.00662,0.9985,1,0.00566,0.003664,0.003664,0.003664
34,18253.4,0.00628,0.9985,1,0.00569,0.003466,0.003466,0.003466
35,20400.7,0.0065,0.9985,1,0.00574,0.003268,0.003268,0.003268
36,22446.7,0.00645,0.9985,1,0.00575,0.00307,0.00307,0.00307
37,24497.2,0.00581,0.99858,1,0.0057,0.002872,0.002872,0.002872
38,26521.1,0.00556,0.99867,1,0.00565,0.002674,0.002674,0.002674
39,28569.9,0.00471,0.99867,1,0.00565,0.002476,0.002476,0.002476
40,30616.5,0.00396,0.99867,1,0.00563,0.002278,0.002278,0.002278
41,32701.2,0.00503,0.99875,1,0.0056,0.00208,0.00208,0.00208
42,34741.3,0.00476,0.99875,1,0.00557,0.001882,0.001882,0.001882
43,36782.9,0.0041,0.99875,1,0.00555,0.001684,0.001684,0.001684
44,38817.1,0.00449,0.99875,1,0.00555,0.001486,0.001486,0.001486
45,40869.7,0.00391,0.99875,1,0.00556,0.001288,0.001288,0.001288
46,43026.2,0.00433,0.99875,1,0.00558,0.00109,0.00109,0.00109
47,45236.2,0.00332,0.99883,1,0.00559,0.000892,0.000892,0.000892
48,47413.9,0.00334,0.99883,1,0.00561,0.000694,0.000694,0.000694
49,49569.6,0.00331,0.99883,1,0.00562,0.000496,0.000496,0.000496
50,51737.1,0.00289,0.99883,1,0.00565,0.000298,0.000298,0.000298
